@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3}

@data
841,'2019/01/28 16:07:48:481',8,98.613029,0.000028,73.056252,0.007583,6.515533,15.281114,0,87.0037,0.205628,0.045866,0.067887,0.000088,0.822424,0.069548,0.501792,0.670114,0.068358,0.000002,0.035554,0,0.00189,0.452983,0.407414,18.859615,0.000169,0.003809,6.991837,-2.425598,0.679582,5.633175,4.888931,190.816467,1
842,'2019/01/28 16:07:48:552',8,98.201134,0.000013,80.850342,0.006763,9.873245,11.584253,0,80.755981,0.16769,0.058436,0.062623,0.000112,0.637374,0.047858,0.438178,0.322378,0.066227,0.000004,0.023456,0,0.00113,0.325251,0.417031,34.015568,0.00013,0.003157,9.979788,-3.274132,2.000694,5.732019,4.579846,190.855789,1
843,'2019/01/28 16:07:48:688',8,97.427139,0.00001,81.663361,0.008377,15.078157,13.035038,0,44.565277,0.128864,0.064415,0.074514,0.000155,0.703841,0.032223,0.43237,0.200698,0.054459,0.000004,0.013008,0,0.000393,0.263906,0.420556,44.207417,0.000127,0.003092,10.335259,-4.81723,3.829563,6.411055,3.338171,188.624496,1
844,'2019/01/28 16:07:48:785',8,94.98056,0.000009,81.6465,0.002668,27.732637,7.855236,0.000666,11.960384,0.119856,0.063632,0.110003,0.000326,0.840813,0.02064,0.340037,0.115772,0.044682,0.000005,0.003631,0,0.000212,0.221931,0.42306,66.148941,0.000127,0.003092,10.320881,-8.63826,7.298236,4.396924,2.913294,195.06189,1
845,'2019/01/28 16:07:48:881',8,94.43383,0.000016,72.129349,0.000271,34.378708,5.529703,99.999893,0.887087,0.085172,0.088498,0.03424,0.000906,0.413673,0.030182,0.255352,0.217701,0.044007,0.000015,0.000221,0,0.000313,0.199409,0.420298,61.416679,0.000173,0.003935,6.667034,-10.5289,7.844038,1.539335,2.32463,206.298767,1
846,'2019/01/28 16:07:48:979',8,93.848114,0.000018,52.512444,0.000034,40.475567,2.655026,99.999702,0.190659,0.0404,0.111509,0.014985,0.001616,0.094879,0.050742,0.192697,0.477054,0.046893,0.000062,0.000025,0,0.001122,0.19415,0.413256,37.733944,0.000328,0.006413,2.605724,-12.327499,8.375409,6.220197,1.847421,208.01329,1
847,'2019/01/28 16:07:49:059',8,95.047829,0.000056,32.663643,0.000003,51.701511,1.938728,0.000004,0.006641,0.028789,0.176686,0.016447,0.003189,0.106291,0.054991,0.090296,0.575333,0.050504,0.000129,0.000005,0,0.005017,0.193403,0.410627,24.661015,0.000629,0.010505,0.981787,-15.725876,7.227229,6.436075,1.861325,191.824539,1
848,'2019/01/28 16:07:49:152',8,96.619072,0.000053,42.148499,0,48.152439,1.188315,0,0.002026,0.021683,0.225388,0.018932,0.005484,0.245669,0.055711,0.056834,0.367099,0.061049,0.00006,0.000003,0,0.002621,0.193366,0.416309,33.34127,0.000461,0.008291,1.568594,-14.639954,5.236871,7.180521,2.689662,190.363983,1
849,'2019/01/28 16:07:49:261',8,97.245682,0.000056,58.396656,0,49.348,1.932089,0,0.001439,0.019417,0.296801,0.018872,0.008093,0.618689,0.064845,0.038001,0.31749,0.065413,0.000022,0.000007,0,0.001128,0.193639,0.41767,63.487541,0.000271,0.005492,3.466835,-15.096771,4.179638,6.935029,2.885276,190.689011,1
850,'2019/01/28 16:07:49:359',8,97.456001,0.000032,80.18705,0.000002,61.679752,2.756751,0,0.002934,0.022916,0.393466,0.077893,0.010653,0.544833,0.057112,0.027342,0.122273,0.070371,0.000009,0.000119,0,0.000534,0.196865,0.42305,95.214256,0.000133,0.0032,9.649457,-18.718285,3.771687,5.950544,2.564156,189.980499,1
